firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
Blue-Yonder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Booking-com,4.5,4.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
Boots,4.0,4.0,0.0,1.3333333333333333,2.5,1.0,0.0,1.5714285714285714,2.2,4.166666666666667,0.0,0.0,1.0,2.5,2.5,3.25,0.0,1.875
Boots-Opticians,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Brewin-Dolphin,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British-Airways,4.0,2.3333333333333335,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.4,0.0,0.0,1.0,5.0,1.0,3.0,3.75,1.8
British-Red-Cross,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,5.0
Bullhorn,5.0,4.0,0.0,5.0,3.6666666666666665,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Bupa,0.0,3.3333333333333335,3.5,0.0,5.0,4.0,0.0,2.3333333333333335,1.0,4.5,0.0,0.0,0.0,3.6666666666666665,5.0,0.0,0.0,3.0
Burberry,4.0,4.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
CBRE,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0
CVS-Group,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Capita,4.0,2.6666666666666665,0.0,1.0,3.8,4.0,0.0,1.5714285714285714,2.75,4.0,0.0,0.0,0.0,2.3333333333333335,3.0,2.0,0.0,3.0
Capital-Group,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0
CarShop-UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,4.0
Christie-s,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,3.0,2.0,5.0,0.0,0.0
Cisco-Systems,0.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,0.0,4.5,0.0,0.0,2.0,4.5,3.0,0.0,4.0,0.0
Citi,4.0,3.3333333333333335,0.0,4.0,2.0,0.0,0.0,3.5,1.0,4.5,0.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0
Citizens-Advice,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Civil-Service-United-Kingdom,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
Co-op,4.0,1.0,4.0,4.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.5
Compass-Group,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,3.0
Covea-Insurance,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Coventry-University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creative-Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,2.0,1.0,2.5,0.0,1.0
Crown-Prosecution-Service,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cygnet-Health-Care,0.0,2.5,0.0,4.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0,0.0,4.0
DFID,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DFS-Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0
DHL-Supply-Chain,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.5,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DPDgroup,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DWF,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
David-Lloyd-Leisure,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Debenhams,5.0,4.0,0.0,4.5,4.0,2.5,0.0,1.0,3.25,3.6,0.0,0.0,0.0,2.5,0.0,4.0,0.0,3.4
Deloitte,3.5,3.8333333333333335,0.0,4.166666666666667,3.0,0.0,0.0,1.0,1.6,4.4,2.0,4.0,1.6666666666666667,3.1666666666666665,3.6666666666666665,4.0,4.0,2.7857142857142856
