firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
H-and-M,3.5714285714285716,3.375,4.0,3.1176470588235294,3.0454545454545454,2.2,,2.09375,2.75,3.185185185185185,5.0,,1.2,3.3529411764705883,3.0,2.142857142857143,,2.6666666666666665
HC-One,1.0,4.2,,1.0,4.0,,,2.0,2.0,3.25,2.0,,1.5,3.25,3.0,3.6666666666666665,,2.6
HM-Courts-and-Tribunals-Service,,,,4.0,2.0,,,,,1.0,,,,,,,,
HM-Prison-Service,4.0,,,1.0,4.666666666666667,,4.0,1.6,1.0,3.3333333333333335,,,,4.0,3.0,2.5,,2.3333333333333335
HM-Treasury,2.0,4.0,,2.0,3.0,3.0,,2.0,1.5,4.0,,,,4.0,2.0,,,2.6666666666666665
HMCTS,4.0,4.0,,4.0,1.3333333333333333,,4.0,4.0,1.0,,,4.0,,,,,,4.0
HSBC-Holdings,3.9696969696969697,3.28125,3.0,3.411764705882353,3.0816326530612246,3.25,2.4,1.84375,2.6444444444444444,3.5945945945945947,2.3333333333333335,4.25,1.9090909090909092,3.4166666666666665,3.235294117647059,4.25,4.25,3.4285714285714284
Hampshire-County-Council,3.3333333333333335,5.0,,4.25,3.0,2.0,,4.4,2.3333333333333335,3.75,,,5.0,4.5,4.4,,,5.0
Harris-Federation,1.0,2.5,,,,,,2.5,,,,,,,,,,4.0
Harrods,4.375,3.6923076923076925,2.0,2.7777777777777777,2.8333333333333335,2.4,,2.3181818181818183,3.3333333333333335,3.272727272727273,5.0,,1.4444444444444444,3.5714285714285716,4.6,3.5714285714285716,2.0,2.076923076923077
Harvey-Nichols,4.0,3.0,2.0,3.0,2.5,1.0,,1.0,1.3333333333333333,3.0,,,1.3333333333333333,3.4,2.5,3.0,,1.75
Hastings-Direct,4.2,3.2,4.0,3.5,3.2,2.6666666666666665,,3.3333333333333335,3.4,3.9285714285714284,2.5,5.0,1.5,4.285714285714286,4.0,3.142857142857143,,4.0
Hays,3.909090909090909,4.090909090909091,5.0,2.4444444444444446,4.333333333333333,3.3333333333333335,,3.395348837209302,2.0,4.1,3.6666666666666665,5.0,1.95,3.9393939393939394,4.023255813953488,4.317460317460317,5.0,2.15
Health-Education-England,,,,4.0,,,,1.0,,,,,,4.0,4.0,,,4.0
Her-Majesty-s-Revenue-and-Customs,4.0,3.0,,4.0,2.4,2.0,4.0,1.8181818181818181,2.727272727272727,3.2857142857142856,2.0,4.0,3.5,3.0,4.5,2.6666666666666665,1.0,3.9166666666666665
Hilton,3.4545454545454546,4.2,5.0,3.142857142857143,3.25,1.5,,2.5,1.7142857142857142,2.9285714285714284,1.0,,1.8,3.7,3.0,3.0,4.0,2.375
Hitachi-Capital-UK,4.6,5.0,,2.0,3.0,,,2.3333333333333335,4.833333333333333,3.0,,5.0,,2.6666666666666665,5.0,2.0,,3.0
Holiday-Inn,2.5,1.0,,1.0,2.75,,,2.4,2.6666666666666665,3.0,1.0,,,2.8333333333333335,5.0,,,1.0
Holiday-Inn-Express,5.0,,,,4.0,,,1.0,4.0,,,,,,,,,2.5
Home-Group,4.0,5.0,,3.0,4.5,1.5,,2.8333333333333335,2.75,3.1666666666666665,,,1.0,4.5,4.333333333333333,5.0,1.0,1.5
Home-Office,3.3333333333333335,1.75,4.0,3.142857142857143,2.5,1.3333333333333333,4.0,1.6666666666666667,2.3333333333333335,3.5714285714285716,,2.5,1.5,4.0,2.5,3.0,,3.0
Hyatt,4.0,4.0,,4.0,4.0,,,1.0,4.0,4.0,,,,,,,,3.0
