firm,aspect,avg_star_rating,n_mentions
AFH Wealth Management,culture,2.769230769230769,13
AFH Wealth Management,growth & learning,3.4444444444444446,9
AFH Wealth Management,hr & recruitment,2.5217391304347827,23
AFH Wealth Management,job role clarity,1.0,4
AFH Wealth Management,management,2.375,24
AFH Wealth Management,office & location,3.142857142857143,7
AFH Wealth Management,pay,1.894736842105263,19
AFH Wealth Management,people,3.2941176470588234,17
AFH Wealth Management,perks & benefits,3.0,8
AFH Wealth Management,stress & pressure,2.0,3
AFH Wealth Management,teamwork & collaboration,2.5714285714285716,14
AFH Wealth Management,tools & resources,2.111111111111111,9
AFH Wealth Management,work-life balance,3.1666666666666665,12
AJ Bell,culture,3.4166666666666665,48
AJ Bell,growth & learning,3.25,68
AJ Bell,hr & recruitment,3.0,64
AJ Bell,job role clarity,2.125,8
AJ Bell,management,2.8048780487804876,41
AJ Bell,office & location,3.4680851063829787,47
AJ Bell,pay,2.4285714285714284,63
AJ Bell,people,3.43859649122807,57
AJ Bell,perks & benefits,2.8627450980392157,51
AJ Bell,stress & pressure,2.9285714285714284,14
AJ Bell,teamwork & collaboration,3.2903225806451615,31
AJ Bell,tools & resources,3.413793103448276,29
AJ Bell,work-life balance,2.870967741935484,31
ASOS,culture,3.2093023255813953,258
ASOS,growth & learning,2.550359712230216,278
ASOS,hr & recruitment,2.8076923076923075,208
ASOS,job role clarity,2.3508771929824563,57
ASOS,management,1.7544642857142858,224
ASOS,office & location,3.2857142857142856,203
ASOS,pay,2.335,200
ASOS,people,3.311787072243346,263
ASOS,perks & benefits,3.685236768802228,359
ASOS,stress & pressure,2.404040404040404,99
ASOS,teamwork & collaboration,2.701986754966887,151
ASOS,tools & resources,2.864406779661017,118
ASOS,work-life balance,2.6444444444444444,225
AXA UK,culture,3.543859649122807,57
AXA UK,growth & learning,3.534090909090909,88
AXA UK,hr & recruitment,3.192982456140351,57
AXA UK,job role clarity,3.1,20
AXA UK,management,2.78125,64
AXA UK,office & location,3.057142857142857,35
AXA UK,pay,3.029850746268657,67
AXA UK,people,3.704225352112676,71
AXA UK,perks & benefits,3.953125,64
AXA UK,stress & pressure,1.8,10
AXA UK,teamwork & collaboration,3.702702702702702,37
AXA UK,tools & resources,3.4545454545454546,55
AXA UK,work-life balance,3.730769230769231,52
Abcam,culture,4.153846153846154,91
Abcam,growth & learning,3.4745762711864407,118
Abcam,hr & recruitment,3.5135135135135136,37
Abcam,job role clarity,3.2666666666666666,15
Abcam,management,3.5306122448979593,49
Abcam,office & location,3.3026315789473686,76
Abcam,pay,2.4186046511627906,43
Abcam,people,4.119047619047619,84
Abcam,perks & benefits,3.725,40
Abcam,stress & pressure,3.119047619047619,42
Abcam,teamwork & collaboration,4.105263157894737,38
Abcam,tools & resources,3.8333333333333335,36
Abcam,work-life balance,4.0638297872340425,47
Accenture,culture,3.2404494382022473,445
Accenture,growth & learning,3.3583333333333334,1200
Accenture,hr & recruitment,3.2514851485148513,505
Accenture,job role clarity,2.7904411764705883,272
Accenture,management,2.250474383301708,527
Accenture,office & location,2.9107142857142856,224
Accenture,pay,2.565068493150685,584
Accenture,people,3.617610062893082,795
Accenture,perks & benefits,3.849002849002849,351
Accenture,stress & pressure,1.8975265017667844,283
Accenture,teamwork & collaboration,3.2869198312236287,237
Accenture,tools & resources,3.293827160493827,405
Accenture,work-life balance,2.6161473087818696,706
Accor,culture,3.7096774193548385,31
Accor,growth & learning,3.576923076923077,52
Accor,hr & recruitment,3.0444444444444443,45
Accor,job role clarity,2.857142857142857,7
Accor,management,2.15,40
Accor,office & location,3.047619047619047,21
Accor,pay,1.8846153846153848,78
Accor,people,3.5428571428571427,35
Accor,perks & benefits,3.6486486486486487,37
Accor,stress & pressure,1.8095238095238095,21
Accor,teamwork & collaboration,3.526315789473684,19
Accor,tools & resources,2.4444444444444446,9
Accor,work-life balance,2.574074074074074,54
ActionCOACH,culture,4.142857142857143,7
ActionCOACH,growth & learning,4.222222222222222,9
ActionCOACH,hr & recruitment,4.75,4
ActionCOACH,job role clarity,3.6666666666666665,3
ActionCOACH,management,3.3333333333333335,3
ActionCOACH,office & location,4.0,1
ActionCOACH,pay,3.3333333333333335,3
ActionCOACH,people,3.7142857142857144,7
ActionCOACH,perks & benefits,4.0,2
ActionCOACH,stress & pressure,3.0,2
ActionCOACH,teamwork & collaboration,4.166666666666667,6
ActionCOACH,tools & resources,4.333333333333333,3
ActionCOACH,work-life balance,3.25,4
Active Care Group,culture,3.0,13
Active Care Group,growth & learning,3.5384615384615383,13
Active Care Group,hr & recruitment,2.65,20
Active Care Group,job role clarity,3.6666666666666665,3
Active Care Group,management,2.736842105263158,19
Active Care Group,office & location,2.8125,16
